service_id,category,service_name,customer_description,search_keywords,required_questions,labour_hours,material,material_cost,markup_pct
svc_tap_service,Tapware,Tap Service,"""Lubricate and service existing taps.""","""dripping tap, leaking spout, stiff handle, squeaking tap, changing washers, laundry tap leaking, kitchen tap dripping""","""Are the taps hard to turn on and off?""",0.5,,16,0.2
svc_tap_wall_assembly,Tapware,Wall Top Assembly Replacement,"""Supply and install a pair of premium wall-top tap assemblies (handles and flanges), including standard washers, lubricated spindles, and dynamic pressure testing.""","""cracked handle, corroded tap flange, loose wall taps, shiny chrome knobs, missing handle button, bathroom wall taps""","""Are the wall top taps chrome?""",0.5,Posh Bristol Wall Top Assembly Taps Chrome Lead Free (27892),60,0.2
svc_shower_set,Tapware,Shower Set Replacement,"Supply and install a new standard all-directional shower set, including premium standard jumpers and wall assembly testing.""","""leaking shower tap, stiff shower handle, dripping shower rose, standard jumper valve shower, replacing shower dials""","""Wall or ceiling mounted? Are the existing handles difficult to turn completely off?""",0.75,Posh Bristol Shower Set Chrome (2205922),80,0.2
svc_shower_set_ceramic,Tapware,Shower Set Replacement 1/4 Turn Ceramic,"""Supply and install an upgraded 1/4 turn ceramic disc shower tap set for smooth, low-maintenance operation.""","""ceramic disc upgrade, quarter turn shower, lever style taps, arthritis friendly taps, smooth turn handles""","""Is the shower head wall or ceiling mounted?""",0.75,Posh Bristol Shower Set Lever 1/4 Turn Ceramic Disk (2205962),152,0.2
svc_shower_head,Tapware,Shower Head Replacement ,"""Remove existing shower head assembly and install a new standard chrome all-directional arm and rose.""","""clogged shower head, broken shower arm, rusty shower rose, low water pressure shower, spraying sideways""","""Is the shower head wall or ceiling mounted?""",0.5,Standard All Directional & Rose Chrome (1700672),24,0.2
svc_tap_basin_set,Tapware,Basin Set Replacement,"""Supply and install new basin set""","""bathroom sink tap, vanity mixer replacement, basin spout leaking, three piece basin set""","""Is the basin a single-hole drop-in vanity, or a traditional 3-piece setup with separate hot/cold handles?""",1.5,Posh Bristol Basin Set Swivel (27127),132,0.2
svc_tap_basin_set_ceramic,Tapware,Basin Set 1/4 Turn Ceramic Disc Replacement,"""Supply and install a premium 1/4 turn ceramic disc basin mixer set, offering smooth lever operation, low maintenance, and precise flow control.""","""ceramic basin tap, quarter turn vanity taps, lever basin set, bathroom sink upgrade, smooth turn basin knobs, modern vanity tapware""","""Is the current basin set standard jumper valves or a quarter-turn ceramic model?""",1.5,Posh Bristol Basin Set Lever Ceramic Disc Chrome (27209),192,0.2
svc_bath_set,Tapware,Bath Set Replacement,"""Supply and install new bath set.""","""bath taps, bathtub spout, bath set replacement, tub faucet leaking, wall bath assembly, separate hot and cold bath knobs, low profile tub spout""","""Is the bath spout a standard fixed model, or does it have a diverter lift-pin on it to switch water up to a shower?""",0.75,Posh Bristol Bath Set (2205230),72,0.2
svc_bath_set_ceramic,Tapware,Bath Set 1/4 Turn Ceramic Disc Replacement,"""Supply and install an upgraded 1/4 turn ceramic disc wall bath assembly set for easy, drip-free operation and modern aesthetics.""","""ceramic bath taps, lever tub handles, quarter turn bath set, arthritis friendly bath taps, premium tub knobs""","""Is the existing bathtub spout mounted directly into the wall tiles or resting on a hob/ledge?""",0.75,Posh Bristol Lever Bath Set 1/4 Ceramic Disc Chrome (2205401),124,0.2
svc_kitchen_wall_sink,Tapware,Kitchen Wall Sink Set Replacement ,"""Supply and install a traditional wall-mounted kitchen sink tap set, complete with separate hot and cold controls and an extended swivel spout.""","""kitchen mixer faucet, gooseneck tap, kitchen lever replacement, pull out spray tap, veggie spray mixer, sink tap leaking at base, modern kitchen faucet""","""Does the current kitchen mixer have a pull-out spray hose, or is it a standard fixed goose-neck style?""",0.75,Posh Bristol Wall Sink Set Chrome (27919),92,0.2
